aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,0,0.0615,0.00047473012818954885
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,1,0.0515,0.0006426888867281377
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,2,0.0704,0.0007643242133781314
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,3,0.041,0.0008641321328468621
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,4,0.036,0.0009478632709942758
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,5,0.0233,0.0010232576169073582
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,6,0.0407,0.0010914563899859786
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,7,0.0323,0.0011555406963452697
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,8,0.0441,0.0012168174143880606
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,9,0.0388,0.0012739974772557616
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,10,0.0427,0.0013288275804370642
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,11,0.0243,0.0013808649964630604
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,12,0.0399,0.0014313957653939724
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,13,0.0255,0.0014802465448156
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,14,0.0315,0.001527237007394433
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,15,0.0336,0.001572902430780232
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,16,0.0274,0.0016179258236661553
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,17,0.0281,0.001661504153162241
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,18,0.0254,0.0017038260120898485
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,19,0.0315,0.0017452550819143653
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,20,0.0304,0.001785902539268136
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,21,0.038,0.0018257304327562451
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,22,0.0344,0.0018643996445462108
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,23,0.0294,0.001902977586723864
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,24,0.0347,0.0019402457401156425
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,25,0.0222,0.0019762872252613306
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,26,0.0217,0.002012559212744236
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,27,0.0326,0.002048115711659193
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,28,0.0232,0.0020824926905333996
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,29,0.023,0.002116517862305045
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,30,0.0232,0.002150613348931074
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,31,0.0317,0.002183935372158885
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,32,0.0314,0.002216698369011283
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,33,0.029,0.002249352401122451
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,34,0.018,0.002281160792335868
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,35,0.0212,0.0023127482272684574
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,36,0.0223,0.0023439580108970404
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,37,0.0209,0.002374561270698905
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,38,0.0278,0.0024050232023000717
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,39,0.02,0.002435216447338462
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,40,0.0234,0.0024644972290843725
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,41,0.0255,0.0024940671864897013
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,42,0.0233,0.0025232795160263777
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,43,0.0221,0.0025519526097923517
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,44,0.0251,0.0025809817016124725
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,45,0.0213,0.002609228016808629
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,46,0.0307,0.0026372794527560472
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,47,0.027,0.0026650482323020697
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,48,0.0225,0.0026926628779619932
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,49,0.0203,0.0027199075557291508
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,50,0.0216,0.0027468346524983644
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,51,0.0241,0.0027734385803341866
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,52,0.0276,0.002800489543005824
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,53,0.0228,0.002826317213475704
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,54,0.0208,0.0028524629306048155
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,55,0.0209,0.002878359518945217
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,56,0.0209,0.0029039536602795124
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,57,0.0165,0.00292943581007421
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,58,0.0234,0.002955100266262889
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.01,resnet18,59,0.0261,0.0029803419020026922
