aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,1.0059521198272705,0.2286,0.0006606917013414204
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,1.0059674978256226,0.4901,0.001623345771804452
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,1.0060486793518066,0.6628,0.0024137822911143303
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,1.0061161518096924,0.7098,0.0029321731999516487
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,1.006203532218933,0.7562,0.0034742418210953474
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,1.0063005685806274,0.7851,0.003880281001329422
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,1.006407380104065,0.8148,0.004321126267313957
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,1.0065103769302368,0.7898,0.0046631465665996075
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,1.006623387336731,0.8232,0.005045601632446051
N/A,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,1.006730318069458,0.8027,0.005401161499321461
