aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,0,0.0692,0.0004734001704491675
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,1,0.0748,0.0006410490022972226
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,2,0.0825,0.0007606589351780713
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,3,0.0514,0.0008602656307630241
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,4,0.0637,0.0009438153938390315
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,5,0.0436,0.0010188290616497397
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,6,0.0553,0.0010861305054277182
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,7,0.0491,0.0011498820967972279
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,8,0.0545,0.001210260670632124
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,9,0.0677,0.0012667377013713121
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,10,0.0521,0.0013217306695878506
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,11,0.0532,0.0013730956707149744
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,12,0.0484,0.001423584297299385
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,13,0.0393,0.0014719734899699688
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,14,0.0471,0.0015187256503850222
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,15,0.0424,0.0015640942147001624
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,16,0.0363,0.0016088091069832444
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,17,0.0351,0.0016525366809219122
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,18,0.0328,0.001694731181487441
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,19,0.0382,0.0017357441829517484
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,20,0.0341,0.0017761447234079242
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,21,0.0499,0.001815715804696083
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,22,0.0372,0.0018540866440162063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,23,0.0381,0.0018920765724033117
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,24,0.0392,0.0019289248157292604
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,25,0.0259,0.001964932307600975
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,26,0.0207,0.002001000102609396
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,27,0.035,0.0020361533388495445
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,28,0.0243,0.0020705098286271095
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,29,0.021,0.002104011597111821
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,30,0.0247,0.0021376085933297873
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,31,0.0358,0.002170097315683961
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,32,0.0316,0.0022029646206647158
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,33,0.0349,0.0022350684739649296
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,34,0.0213,0.0022666873410344124
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,35,0.0223,0.002297930186614394
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,36,0.0238,0.0023288291413336992
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,37,0.0164,0.0023591024801135063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,38,0.0298,0.0023892733734101057
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,39,0.0253,0.0024190833792090416
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,40,0.0231,0.0024483813904225826
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,41,0.0226,0.002477736445143819
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,42,0.025,0.002506904536858201
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,43,0.024,0.002535655163228512
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,44,0.0239,0.002563988324254751
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,45,0.02,0.0025922423228621483
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,46,0.0297,0.0026200360152870417
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,47,0.0217,0.002647906541824341
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,48,0.0199,0.002675214083865285
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,49,0.0229,0.0027019556146115065
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,50,0.0202,0.002728906460106373
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,51,0.0249,0.0027555059641599655
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,52,0.022,0.0027823077980428934
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,53,0.0185,0.002808373887091875
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,54,0.0188,0.0028343352023512125
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,55,0.0179,0.0028602080419659615
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,56,0.0215,0.0028859293088316917
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,57,0.0154,0.0029114740900695324
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.01,resnet18,58,0.0222,0.0029370428528636694
