aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,0,1.00093,0.29018131530424096,0.006713,0.0007053962908685207
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,1,0.997155,0.3225645359557468,0.008882,0.0008898649830371141
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,2,0.993137,0.3869852489244007,0.011128,0.0010749772191047668
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,3,0.989158,0.41429778733866013,0.013353,0.0012374504003673792
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,4,0.984968,0.4165642286416718,0.015606,0.001387791708111763
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,5,0.98101,0.430239704978488,0.017816,0.0015204703668132424
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,6,0.977057,0.4370774431468961,0.019934,0.001644700882025063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,7,0.973215,0.4371542716656423,0.022041,0.0017611442599445581
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,8,0.969327,0.4431084818684696,0.024133,0.0018759820377454162
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,9,0.965432,0.44664259373079285,0.026165,0.0019799184519797564
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,10,0.961673,0.4463352796558082,0.028112,0.002079109661281109
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,11,0.957877,0.4530961893054702,0.030051,0.0021785423159599304
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,12,0.954144,0.4584357713583282,0.031891,0.002271469449624419
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,13,0.950542,0.4615089121081746,0.033838,0.00236279284581542
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,14,0.947003,0.4542486170866626,0.035649,0.0024499099235981703
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,15,0.943479,0.46243085433312847,0.037382,0.00253326166421175
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,16,0.940028,0.46162415488629377,0.039097,0.0026152220088988543
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,17,0.936743,0.46339121081745543,0.040747,0.002696787705644965
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,18,0.933527,0.463660110633067,0.042384,0.0027736409101635218
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,19,0.930357,0.4721496619545175,0.04401,0.0028492454439401627
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,20,0.927323,0.4647357098955132,0.04551,0.0029214774258434772
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,21,0.924384,0.4578979717271051,0.046984,0.002993713365867734
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,22,0.921548,0.47318684695759067,0.048397,0.003067072480916977
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,23,0.918791,0.4792178856791641,0.049774,0.0031361642759293318
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,24,0.916087,0.48413491087891825,0.051157,0.003204924752935767
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,25,0.913536,0.48601720958819916,0.052418,0.0032732775434851646
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,26,0.911056,0.48152274124154887,0.053674,0.0033378053922206163
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,27,0.908731,0.4847879532882606,0.054887,0.0034032785333693027
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,28,0.906512,0.48728488014751076,0.056007,0.003466401482000947
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,29,0.904392,0.4804855562384757,0.05715,0.003529427805915475
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,30,0.902342,0.4788337430854333,0.058173,0.0035903332754969597
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,31,0.900366,0.48248309772587583,0.059178,0.0036489549092948437
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,32,0.898497,0.4780654578979717,0.060164,0.0037080382462590933
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,33,0.89679,0.4888214505224339,0.061093,0.0037656999193131924
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,34,0.895147,0.4853257529194837,0.061944,0.003824656130746007
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,35,0.893615,0.48179164105716044,0.062774,0.0038822197820991278
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,36,0.892204,0.49043484941610327,0.063561,0.003937536384910345
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,37,0.890884,0.48839889366933004,0.064289,0.003994776401668787
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,38,0.889658,0.4780654578979717,0.064988,0.004049910698086023
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,39,0.888564,0.4861708666256915,0.065643,0.0041050985455513
