aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,0,0.982182,0.2676321450522434,0.01462,0.0007072221487760544
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,1,0.945946,0.33497234173325136,0.033061,0.0009059261647053063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,2,0.908079,0.3776505838967425,0.051044,0.0010962783126160502
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,3,0.872768,0.4115703749231715,0.067492,0.001267174375243485
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,4,0.838353,0.4252458512599877,0.083665,0.0014272266998887062
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,5,0.80733,0.4324293177627535,0.098673,0.0015675012255087495
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,6,0.777688,0.4382682851874616,0.112984,0.001699719694443047
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,7,0.750099,0.4403426551936079,0.126398,0.0018208094406872988
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,8,0.723033,0.4471035648432698,0.138938,0.0019416327122598886
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,9,0.697024,0.4515980331899201,0.150633,0.0020536857191473246
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,10,0.673519,0.45497848801475105,0.161326,0.0021563179325312376
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,11,0.650695,0.4613936693300553,0.171392,0.002261543646454811
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,12,0.629257,0.46189305470190534,0.180544,0.0023590363562107086
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,13,0.609597,0.4675783650891211,0.188878,0.002453405177220702
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,14,0.59126,0.4585125998770744,0.196507,0.002543271519243717
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,15,0.573922,0.473340503995083,0.203614,0.0026302519254386425
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,16,0.557922,0.46803933620159804,0.210022,0.0027137193828821182
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,17,0.543106,0.4732636754763368,0.215536,0.002796740038320422
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,18,0.529777,0.4745697602950215,0.220943,0.0028765364550054073
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,19,0.517249,0.4893976644130301,0.225893,0.0029545696452260017
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,20,0.505836,0.4751843884449908,0.230233,0.0030277022160589695
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,21,0.495252,0.47103564843269824,0.234093,0.0031003523617982864
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,22,0.485481,0.49354640442532266,0.237706,0.003173469565808773
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,23,0.476474,0.482559926244622,0.241165,0.003242471953853965
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,24,0.468135,0.4962354025814382,0.244344,0.0033129844814538956
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,25,0.460616,0.5089505224339275,0.247215,0.0033806043211370707
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,26,0.453554,0.5014213275968039,0.249905,0.003444017143920064
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,27,0.447264,0.4964274738783036,0.252466,0.003508766647428274
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,28,0.441393,0.5076060233558697,0.254732,0.003571431851014495
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,29,0.43607,0.4979640442532268,0.25689,0.003631295869126916
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,30,0.431012,0.4907421634910879,0.258814,0.0036927296314388514
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,31,0.426397,0.5155577750460971,0.260724,0.003751751035451889
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,32,0.422252,0.4955823601720959,0.262465,0.003808605019003153
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,33,0.418568,0.5072602950215119,0.264088,0.003865631064400077
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,34,0.415153,0.5055316533497234,0.265584,0.003924062941223383
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,35,0.412105,0.5056084818684696,0.26696,0.003979592118412256
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,36,0.40942,0.5052243392747388,0.268183,0.004032757133245468
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,37,0.407025,0.503841425937308,0.269335,0.004089257214218378
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,38,0.405027,0.5000768285187461,0.270405,0.004142759367823601
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,39,0.403258,0.5031883835279656,0.271326,0.004195492248982191
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,40,0.401808,0.5003073140749846,0.272226,0.004248748533427715
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,41,0.400638,0.49704210202827287,0.273008,0.004298972897231579
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,42,0.399729,0.49784880147510757,0.27373,0.00435048108920455
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,43,0.399018,0.5178626306084819,0.274377,0.004400200676172972
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,44,0.398632,0.5090657652120467,0.274944,0.0044484795071184635
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,45,0.398454,0.5165565457897972,0.275469,0.0044965241104364395
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,46,0.398559,0.5042639827904118,0.275912,0.004544675350189209
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,47,0.398906,0.4954287031346036,0.276306,0.0045919716358184814
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,48,0.399455,0.5054164105716041,0.276652,0.0046395668759942055
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,49,0.40024,0.5063767670559312,0.276969,0.0046865567564964294
