aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,0,1.005711,0.3028,0.003953,0.00035520835081115365
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,1,1.005268,0.3566,0.004555,0.00044403100037015975
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,2,1.004817,0.359,0.004984,0.0005138187552802265
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,3,1.004315,0.3875,0.005324,0.0005788318812847137
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,4,1.003792,0.4104,0.00559,0.000638800032902509
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,5,1.003256,0.4165,0.005917,0.0006986864609643817
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,6,1.002746,0.4397,0.006138,0.0007481887005269527
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,7,1.002237,0.4576,0.006355,0.0007980257505550981
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,8,1.001755,0.4663,0.006557,0.0008409628644585609
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,9,1.001273,0.4789,0.006757,0.0008875711937434971
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,10,1.00082,0.5041,0.006959,0.0009295899653807282
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,11,1.000395,0.5012,0.007201,0.0009691004524938762
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,12,0.999962,0.5197,0.007383,0.001011872896924615
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,13,0.999539,0.5288,0.00759,0.0010555072221904993
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,14,0.999147,0.5301,0.007752,0.0010912632569670677
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,15,0.998761,0.5431,0.007935,0.0011276064906269312
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,16,0.998381,0.5653,0.008127,0.0011651045642793179
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,17,0.998013,0.5608,0.00831,0.0012035582913085818
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,18,0.997656,0.5773,0.008479,0.0012374392244964838
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,19,0.997311,0.5758,0.008653,0.0012716999044641852
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,20,0.99698,0.5911,0.00882,0.0013052935246378183
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,21,0.996655,0.5985,0.009018,0.001338495290838182
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,22,0.996349,0.6067,0.009186,0.0013719442067667842
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,23,0.996045,0.6021,0.009321,0.0014023127732798457
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,24,0.995753,0.6062,0.009501,0.0014371770666912198
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,25,0.995468,0.6255,0.009623,0.0014707029331475496
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,26,0.995201,0.6202,0.009784,0.0015004916349425912
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,27,0.994951,0.6384,0.009949,0.0015326404245570302
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,28,0.994706,0.6332,0.010086,0.0015642008511349559
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,29,0.994475,0.6398,0.010198,0.00159275287296623
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,30,0.994258,0.6501,0.010325,0.0016239749966189265
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,31,0.994053,0.6504,0.010477,0.0016502650687471032
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,32,0.993855,0.6504,0.010591,0.0016806407365947962
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,33,0.993665,0.6448,0.010727,0.0017062111292034388
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,34,0.993494,0.6586,0.010857,0.0017347668763250113
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,35,0.993326,0.666,0.010986,0.0017628734931349754
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,36,0.993172,0.662,0.011097,0.0017894002376124263
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,37,0.993028,0.6633,0.011208,0.0018175534205511212
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,38,0.9929,0.6698,0.011333,0.0018440232379361987
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,39,0.99278,0.6737,0.011448,0.0018729226430878043
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,40,0.992673,0.6718,0.011565,0.0018977891886606812
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,41,0.992576,0.669,0.011686,0.0019226080039516091
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,42,0.992492,0.6823,0.011791,0.0019463500939309597
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,43,0.992424,0.6834,0.01188,0.001971867401152849
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l1,1.0,1,0.05,resnet18,44,0.992364,0.6808,0.012003,0.0019967244006693363
