aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,0,1.005731,0.2389,0.005135,0.0004030867712572217
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,1,1.005259,0.2957,0.006018,0.0004947612760588527
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,2,1.004707,0.3109,0.006612,0.0005620705196633935
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,3,1.004112,0.3281,0.007037,0.0006196527392603457
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,4,1.003515,0.3465,0.007464,0.0006723336991854012
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,5,1.002884,0.3458,0.007868,0.000728249317035079
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,6,1.002285,0.3652,0.00822,0.0007751011871732771
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,7,1.001646,0.3806,0.008598,0.0008218694129027426
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,8,1.001057,0.3886,0.008937,0.0008619487634859979
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,9,1.00044,0.4112,0.009311,0.0009056534618139267
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,10,0.999842,0.3764,0.009621,0.0009442933369427919
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,11,0.999253,0.4279,0.00994,0.0009833505610004067
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,12,0.998659,0.4327,0.01025,0.0010216973023489118
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,13,0.998095,0.415,0.010524,0.0010556040797382593
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,14,0.997506,0.4402,0.01079,0.001092701219022274
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,15,0.996956,0.4399,0.011078,0.0011271149851381779
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,16,0.996396,0.4339,0.011375,0.0011633672984316945
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,17,0.995862,0.4759,0.011668,0.0011989003978669643
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,18,0.995363,0.4391,0.011948,0.0012304318370297551
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,19,0.994846,0.4703,0.012211,0.0012625805102288723
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,20,0.994344,0.4844,0.012478,0.001294998568482697
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,21,0.99386,0.472,0.012722,0.0013255199883133173
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,22,0.993411,0.4739,0.012974,0.001356603461317718
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,23,0.992957,0.5036,0.013198,0.0013855915749445558
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,24,0.992521,0.5045,0.013453,0.0014155660755932331
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,25,0.992116,0.5009,0.013709,0.0014444151893258095
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,26,0.991705,0.517,0.013928,0.0014743825886398554
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,27,0.991336,0.5216,0.014187,0.0015039064455777407
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,28,0.99099,0.502,0.014387,0.0015306571731343865
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,29,0.990626,0.5169,0.014604,0.0015600241022184491
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,30,0.990286,0.532,0.014817,0.0015876617981120944
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,31,0.989959,0.5116,0.015018,0.001614164561033249
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,32,0.989656,0.5389,0.015228,0.0016414958517998457
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,33,0.989375,0.5249,0.015377,0.0016657207161188126
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,34,0.98911,0.5631,0.015576,0.001692153629846871
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,35,0.988844,0.55,0.015728,0.001719223102554679
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,36,0.988608,0.5495,0.015899,0.0017427236307412386
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,37,0.988385,0.5841,0.016063,0.0017667216015979648
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,38,0.988179,0.5672,0.016216,0.0017918626544997096
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,39,0.987983,0.5584,0.016372,0.001815554453060031
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,40,0.987823,0.5568,0.016543,0.0018403840949758887
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,41,0.987663,0.5539,0.01667,0.0018622701754793525
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,42,0.987536,0.5791,0.016817,0.0018860878190025687
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,43,0.98742,0.572,0.016936,0.001909772981889546
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,44,0.987321,0.5725,0.017045,0.0019324739696457982
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,1.0,1,0.05,resnet18,45,0.98724,0.5782,0.017162,0.001953098806552589
