aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,0,0.907125,0.2811539643515673,0.058026,0.0007133695180527866
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,1,0.761215,0.345421020282729,0.127726,0.0009288775036111474
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,2,0.630314,0.3857559926244622,0.183513,0.0011474090861156583
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,3,0.533363,0.421020282728949,0.223503,0.0013426088262349367
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,4,0.457677,0.4265135218192993,0.253332,0.001516364049166441
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,5,0.402507,0.4285878918254456,0.274572,0.001664203591644764
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,6,0.361831,0.43838352796558083,0.289012,0.0017980133416131139
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,7,0.333214,0.4421865396435157,0.29834,0.001915910979732871
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,8,0.312044,0.4510218192993239,0.303739,0.00202933675609529
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,9,0.297466,0.4596650276582667,0.306087,0.0021296709310263395
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,10,0.286228,0.45351874615857407,0.308001,0.0022250451147556305
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,11,0.276298,0.4719960049170252,0.309844,0.0023169065825641155
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,12,0.267644,0.47437768899815613,0.311311,0.002405112376436591
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,13,0.260271,0.48620928088506454,0.311918,0.002489372156560421
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,14,0.253855,0.4858251382913337,0.311852,0.0025697136297822
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,15,0.248916,0.49950061462815,0.311964,0.0026476127095520496
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,16,0.244947,0.4930854333128457,0.311368,0.0027208449319005013
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,17,0.241162,0.4935079901659496,0.309481,0.002793315565213561
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,18,0.238351,0.4996542716656423,0.308766,0.002863169414922595
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,19,0.235823,0.5069529809465273,0.3081,0.0029326612129807472
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,20,0.233284,0.5079517516902274,0.307062,0.0029977154918015003
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,21,0.2307,0.5077980946527351,0.305531,0.0030630487017333508
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,22,0.228478,0.5158650891210818,0.304277,0.003129927907139063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,23,0.22647,0.513560233558697,0.303324,0.003192551899701357
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,24,0.224802,0.5258527965580824,0.302378,0.003256522584706545
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,25,0.223276,0.5259680393362016,0.301474,0.0033172203693538904
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,26,0.221893,0.5232022126613399,0.300493,0.0033753528259694576
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,27,0.220487,0.5166333743085433,0.29936,0.0034351295325905085
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,28,0.219248,0.527658266748617,0.298409,0.0034927912056446075
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,29,0.218012,0.5242778119237861,0.297196,0.003549169283360243
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,30,0.217055,0.5171327596803934,0.296218,0.00360676646232605
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,50.0,1,0.05,resnet18,31,0.216158,0.5257759680393362,0.295326,0.0036609964445233345
