aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,0,1.005209,0.2978,0.003981,0.00035389617551118135
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,1,1.004085,0.364,0.004618,0.0004461113712750375
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,2,1.0029,0.3581,0.005075,0.0005184161709621549
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,3,1.001615,0.3883,0.005467,0.0005831693997606635
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,4,1.000346,0.4141,0.005785,0.0006410075002349913
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,5,0.998996,0.4148,0.006176,0.0007020988268777728
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,6,0.997714,0.4436,0.00647,0.0007511206204071641
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,7,0.996449,0.4558,0.006799,0.0007998289074748755
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,8,0.995228,0.4671,0.007083,0.0008436394855380058
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,9,0.994003,0.4787,0.007343,0.0008897414081729949
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,10,0.992839,0.5052,0.007641,0.0009343645069748163
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,11,0.991757,0.5073,0.007957,0.0009730530437082052
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,12,0.990659,0.5245,0.008211,0.0010160139063373208
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,13,0.989592,0.5296,0.008508,0.0010588204022496939
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,14,0.988612,0.5231,0.008728,0.0010940339416265488
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,15,0.987653,0.537,0.008976,0.0011303063947707415
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,16,0.986711,0.5647,0.009239,0.0011677027214318514
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,17,0.985778,0.5613,0.009495,0.001206273678690195
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,18,0.984882,0.5742,0.009731,0.0012409086339175701
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,19,0.984032,0.5794,0.009975,0.0012741545215249062
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3l2.5,2.5,1,0.05,resnet18,20,0.983195,0.5915,0.01022,0.001308460719883442
