aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,0,1.005221,0.2529,0.005119,0.00040177584742195904
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,1,1.003988,0.2885,0.006073,0.0004922411753796041
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,2,1.002596,0.3269,0.006802,0.0005589636275544763
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,3,1.001093,0.3224,0.007431,0.0006193049484863877
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,4,0.999598,0.3411,0.008072,0.0006722614634782076
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,5,0.998002,0.3617,0.008719,0.0007264835294336081
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,6,0.996486,0.3607,0.009347,0.0007734578684903681
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,7,0.994889,0.3697,0.009983,0.0008212728425860405
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,8,0.99342,0.3872,0.010559,0.0008620068547315896
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,2.5,1,0.05,resnet18,9,0.991915,0.4088,0.011175,0.0009046575287356973
