aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,0,0.997338,0.2840734480639213,0.007684,0.0007150276796892285
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,1,0.987904,0.34027350952673635,0.012503,0.0008964651497080922
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,2,0.977919,0.3814920098340504,0.017383,0.0010807625949382782
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,3,0.968048,0.4115319606637984,0.022261,0.0012436493998393416
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,4,0.957915,0.4200983405039951,0.027232,0.0013940013013780117
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,5,0.948341,0.4261677934849416,0.032163,0.0015283826505765319
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,6,0.93884,0.43846035648432696,0.036968,0.0016543046804144979
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,7,0.929625,0.43477258758451137,0.041732,0.0017704705242067575
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,8,0.920449,0.4459895513214505,0.046384,0.0018850148189812899
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,9,0.911288,0.4422633681622618,0.050945,0.0019898207392543554
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,10,0.902677,0.45236631837738167,0.055328,0.002090041758492589
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,11,0.894021,0.45655347264904733,0.059613,0.0021901282016187906
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,12,0.885457,0.45555470190534725,0.063749,0.0022852483671158552
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,13,0.877369,0.4595113706207744,0.067754,0.0023777505848556757
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,14,0.86942,0.4512523048555624,0.071573,0.002466393169015646
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,15,0.861607,0.46281499692685923,0.075312,0.002550865989178419
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,16,0.854008,0.4620082974800246,0.078918,0.0026322791818529367
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,17,0.846798,0.46162415488629377,0.082379,0.0027149361558258533
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,18,0.839734,0.4623156115550092,0.085772,0.0027924987953156233
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,19,0.832879,0.47045943454210204,0.089101,0.0028687231242656708
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,20,0.826347,0.46427473878303627,0.092186,0.0029418712947517633
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,21,0.82013,0.45878149969268595,0.095092,0.0030143021140247583
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,22,0.814089,0.4716502765826675,0.09792,0.0030875869560986757
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,23,0.808278,0.47545328826060235,0.100679,0.003158638020977378
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,24,0.802637,0.4855946527350953,0.103354,0.0032287980429828167
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,25,0.79736,0.48248309772587583,0.10586,0.0032968332525342703
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,26,0.79228,0.4838275968039336,0.10826,0.0033615094143897295
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,27,0.787475,0.48263675476336815,0.110547,0.003427300602197647
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,28,0.782961,0.48820682237246465,0.112678,0.0034916072618216276
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,29,0.77867,0.48448063921327594,0.114699,0.0035533697810024023
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,30,0.774551,0.47706668715427164,0.116604,0.003616176312789321
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,31,0.770558,0.48935925015365705,0.118473,0.003676176769658923
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,32,0.766868,0.4814459127228027,0.120256,0.0037349583581089973
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,33,0.763428,0.4855946527350953,0.121917,0.0037943823263049126
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,34,0.760165,0.4853257529194837,0.123462,0.0038528775330632925
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,35,0.757135,0.4850184388444991,0.124914,0.003910641651600599
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,36,0.75436,0.49028119237861095,0.126273,0.003966485615819693
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,37,0.751798,0.48751536570374926,0.127522,0.004024030175060034
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,38,0.749455,0.4772587584511371,0.128703,0.00407907459884882
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,39,0.747312,0.48655500921942224,0.129776,0.004133911803364754
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,40,0.745379,0.4905500921942225,0.130763,0.004189679399132729
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,41,0.743678,0.48878303626306085,0.131621,0.004241660237312317
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,42,0.742144,0.4929317762753534,0.132427,0.004294862970709801
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,43,0.74084,0.49950061462815,0.13311,0.004345784895122051
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,44,0.739734,0.4970036877688998,0.133733,0.004396950360387564
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,2.5,1,0.05,resnet18,45,0.738832,0.5044944683466502,0.134269,0.0044463095255196095
