aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,0,0.999302,0.2444,0.006522,0.00040317338425666094
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,1,0.989493,0.2934,0.010928,0.0004973933682776988
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,2,0.977949,0.3204,0.015955,0.0005701399641111493
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,3,0.966386,0.3334,0.020602,0.0006295934435911477
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,4,0.954822,0.3313,0.025395,0.000685078848619014
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,5,0.942959,0.3454,0.029895,0.0007400086033158004
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,6,0.931436,0.369,0.034804,0.0007894776063039899
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,7,0.919252,0.3668,0.039633,0.0008398575009778142
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,8,0.908293,0.3939,0.04311,0.0008814539760351181
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,9,0.897241,0.4043,0.047331,0.0009262739331461489
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,10,0.886543,0.3823,0.050863,0.0009656929178163409
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,11,0.876198,0.4295,0.054622,0.001007337705232203
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,12,0.865765,0.4287,0.057955,0.0010468806140124798
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,13,0.855967,0.4321,0.06126,0.001083642360754311
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,14,0.84591,0.4461,0.064509,0.0011211378732696176
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,15,0.836807,0.4567,0.067552,0.0011574779637157917
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,16,0.827536,0.4521,0.070884,0.0011941551929339767
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,17,0.818515,0.4687,0.073909,0.0012310883030295372
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,18,0.810479,0.4452,0.076657,0.0012642084620893002
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,19,0.802334,0.4624,0.07964,0.0012983952183276415
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,20,0.794652,0.4863,0.082137,0.0013312563532963395
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,21,0.787047,0.4779,0.084708,0.0013637067750096321
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,22,0.779926,0.4865,0.087063,0.001396942650899291
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,23,0.773114,0.5064,0.08953,0.0014263668563216925
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,24,0.766787,0.5014,0.091717,0.0014571690699085593
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,25,0.760568,0.4998,0.093655,0.0014880088856443763
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,26,0.754552,0.509,0.095771,0.0015190416015684605
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,27,0.749115,0.5144,0.097643,0.0015497342683374882
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,28,0.744195,0.5088,0.099232,0.0015764461131766438
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,29,0.739081,0.5186,0.100872,0.0016058911569416523
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,30,0.734233,0.5336,0.10237,0.0016336815897375345
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,31,0.729722,0.5219,0.103917,0.0016613107873126864
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,32,0.725377,0.5347,0.105273,0.0016900246264413
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,33,0.721578,0.5298,0.106547,0.0017144425073638558
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,34,0.717918,0.5584,0.107811,0.0017417272320017219
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,35,0.714306,0.5477,0.10905,0.0017690059030428529
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,36,0.711035,0.5519,0.11013,0.0017939101671800017
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,37,0.707976,0.5792,0.111078,0.0018181903287768364
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,38,0.705199,0.5597,0.112042,0.0018439304549247026
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,39,0.702519,0.5538,0.112849,0.0018685056129470468
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,40,0.700308,0.5723,0.113569,0.0018940727459266782
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,41,0.698191,0.5568,0.114288,0.0019163404358550906
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,42,0.696424,0.564,0.114863,0.0019404641352593899
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,43,0.694807,0.5797,0.115424,0.0019647052977234125
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,44,0.693472,0.5928,0.115913,0.0019868009258061647
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,45,0.692374,0.5764,0.116317,0.0020082336850464344
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,46,0.691513,0.5909,0.116646,0.0020304189529269934
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,47,0.69087,0.5776,0.116887,0.002053314819931984
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,48,0.690441,0.5983,0.117058,0.0020755063742399216
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,49,0.690254,0.5968,0.117163,0.002097636228427291
