aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,1.004396,0.2394,0.005217,0.00040250737220048904
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,1,1.001925,0.2949,0.006486,0.0004945638356730342
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,2,0.99911,0.3098,0.007713,0.00056129798758775
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,3,0.996178,0.3247,0.008781,0.0006193504086695611
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,4,0.993302,0.3407,0.009944,0.0006712008616887033
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,0.990199,0.3488,0.011075,0.0007262603030540049
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,6,0.987178,0.3564,0.012264,0.0007735634571872652
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,7,0.984036,0.3612,0.013494,0.0008219977025873959
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,8,0.981098,0.3864,0.014563,0.0008632560493424535
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,9,0.978093,0.4078,0.015715,0.0009069086518138647
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,10,0.97508,0.3734,0.016765,0.0009470161749050021
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,0.972169,0.4203,0.01789,0.0009879227727651596
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,12,0.969208,0.4289,0.018954,0.0010277616092935205
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,13,0.96643,0.4169,0.019986,0.0010626092553138733
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,14,0.96346,0.4441,0.021046,0.0011004410916939378
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,15,0.96077,0.4514,0.022084,0.0011352237779647112
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,0.958087,0.4393,0.023198,0.0011710866820067167
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,17,0.955405,0.4696,0.024251,0.0012061328161507845
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,18,0.952999,0.4451,0.025143,0.0012368328170850873
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,19,0.95046,0.4701,0.026135,0.0012692487798631191
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,20,0.948056,0.48,0.02705,0.001302436226978898
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,21,0.945727,0.4648,0.027969,0.0013326463522389531
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,0.943534,0.4883,0.028853,0.0013643676647916436
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,23,0.941372,0.4997,0.029729,0.0013932142173871398
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,24,0.939371,0.5056,0.030533,0.0014218658907338977
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,25,0.937404,0.4982,0.031312,0.0014505727449432015
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,26,0.93545,0.5113,0.032124,0.0014802024234086275
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,0.933711,0.5218,0.032913,0.0015086100902408361
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,28,0.932122,0.4888,0.033573,0.0015352226328104734
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,29,0.930427,0.5022,0.03427,0.0015643587103113532
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,30,0.928806,0.5236,0.034949,0.0015919564757496119
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,31,0.927268,0.4981,0.035601,0.0016184515552595258
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,32,0.925804,0.5256,0.03621,0.0016449977410957217
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,0.924498,0.5191,0.036752,0.0016699907137081027
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,34,0.923267,0.5634,0.037321,0.0016955805476754904
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,35,0.922037,0.5386,0.037836,0.0017226447816938162
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,36,0.92091,0.5434,0.038326,0.0017474223859608173
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,37,0.919853,0.5848,0.038776,0.001771962153725326
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,0.918884,0.5649,0.03922,0.0017973555950447917
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,39,0.917962,0.557,0.039615,0.0018214365700259805
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,40,0.917194,0.5483,0.039977,0.0018458757549524307
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,41,0.916444,0.5485,0.040312,0.001867753453552723
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,42,0.915812,0.5621,0.040623,0.0018920080037787557
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,43,0.91525,0.564,0.040901,0.0019160406664013863
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,0.91477,0.5632,0.041141,0.0019386514322832227
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,45,0.914382,0.5724,0.041353,0.001960382331162691
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,46,0.914074,0.5911,0.041539,0.0019823689945042133
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,47,0.913846,0.5699,0.041682,0.002004318404942751
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,48,0.91369,0.5996,0.04179,0.0020270885434001684
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,49,0.913621,0.5877,0.041881,0.0020495112985372543
