aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,1.00607,0.2551,0.005,0.0004033321747556329
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,1,1.006089,0.2838,0.005962,0.0004969807923771441
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,2,1.006106,0.2797,0.006516,0.0005628702929243445
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,3,1.006122,0.3438,0.006977,0.0006236484623514116
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,4,1.006134,0.3516,0.007393,0.0006786640151403844
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,1.006147,0.3315,0.007754,0.0007260966813191772
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,6,1.006165,0.3526,0.008056,0.0007755168480798602
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,7,1.006178,0.3418,0.008395,0.0008200888987630606
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,8,1.006191,0.3891,0.008691,0.0008635492413304746
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,9,1.006206,0.4078,0.008936,0.0009063103352673352
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,10,1.006221,0.3904,0.009208,0.0009460923029109836
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,1.006234,0.4178,0.009465,0.0009852283401414752
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,12,1.006247,0.423,0.009689,0.0010218649404123425
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,13,1.006258,0.4062,0.009946,0.0010572406463325024
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,14,1.006269,0.4375,0.010174,0.0010924190282821655
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,15,1.006282,0.4559,0.010376,0.0011273480486124754
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,1.006293,0.4579,0.010603,0.0011613470269367099
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,17,1.006308,0.4715,0.010813,0.001196309574879706
N/A,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,18,1.006317,0.4758,0.010984,0.001226626569405198
