aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,0,0.2676321450522434,0.0007072221487760544
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,1,0.33497234173325136,0.0009059261647053063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,2,0.3776505838967425,0.0010962783126160502
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,3,0.4115703749231715,0.001267174375243485
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,4,0.4252458512599877,0.0014272266998887062
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,5,0.4324293177627535,0.0015675012255087495
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,6,0.4382682851874616,0.001699719694443047
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,7,0.4403426551936079,0.0018208094406872988
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,8,0.4471035648432698,0.0019416327122598886
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,9,0.4515980331899201,0.0020536857191473246
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,10,0.45497848801475105,0.0021563179325312376
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,11,0.4613936693300553,0.002261543646454811
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,12,0.46189305470190534,0.0023590363562107086
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,13,0.4675783650891211,0.002453405177220702
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,14,0.4585125998770744,0.002543271519243717
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,15,0.473340503995083,0.0026302519254386425
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,16,0.46803933620159804,0.0027137193828821182
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,17,0.4732636754763368,0.002796740038320422
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,18,0.4745697602950215,0.0028765364550054073
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,19,0.4893976644130301,0.0029545696452260017
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,20,0.4751843884449908,0.0030277022160589695
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,21,0.47103564843269824,0.0031003523617982864
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,22,0.49354640442532266,0.003173469565808773
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,23,0.482559926244622,0.003242471953853965
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,24,0.4962354025814382,0.0033129844814538956
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,25,0.5089505224339275,0.0033806043211370707
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,26,0.5014213275968039,0.003444017143920064
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,27,0.4964274738783036,0.003508766647428274
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,28,0.5076060233558697,0.003571431851014495
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,29,0.4979640442532268,0.003631295869126916
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,30,0.4907421634910879,0.0036927296314388514
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,31,0.5155577750460971,0.003751751035451889
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,32,0.4955823601720959,0.003808605019003153
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,33,0.5072602950215119,0.003865631064400077
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,34,0.5055316533497234,0.003924062941223383
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,35,0.5056084818684696,0.003979592118412256
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,36,0.5052243392747388,0.004032757133245468
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,37,0.503841425937308,0.004089257214218378
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,38,0.5000768285187461,0.004142759367823601
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,39,0.5031883835279656,0.004195492248982191
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,40,0.5003073140749846,0.004248748533427715
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,41,0.49704210202827287,0.004298972897231579
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,42,0.49784880147510757,0.00435048108920455
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,43,0.5178626306084819,0.004400200676172972
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,44,0.5090657652120467,0.0044484795071184635
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,45,0.5165565457897972,0.0044965241104364395
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,46,0.5042639827904118,0.004544675350189209
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,47,0.4954287031346036,0.0045919716358184814
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,48,0.5054164105716041,0.0046395668759942055
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,10.0,1,0.05,resnet18,49,0.5063767670559312,0.0046865567564964294
