aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,0.2708,0.00032846585963852704
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,0.5965,0.0010656779631972313
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,0.716,0.001728508505038917
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,0.7437,0.0018876290414482355
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,0.7442,0.001968393800780177
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,0.7468,0.002004579408094287
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,0.7481,0.0020334701985120773
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,0.7473,0.0020514479838311672
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,0.7468,0.002069400856271386
N/A,OneshotFedETF,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,0.7488,0.0020841339137405157
