aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,1.0060614347457886,0.2829,0.0005094854277558625
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,1.006147861480713,0.4116,0.0010520099895074964
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,1.0062408447265625,0.5003,0.0014978684484958649
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,1.0063077211380005,0.5655,0.0017980026314035058
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,1.0063836574554443,0.605,0.0021104211919009686
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,1.006447672843933,0.6037,0.002345491200685501
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,1.0065146684646606,0.6266,0.0026027169078588486
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,1.0065795183181763,0.6502,0.002803028794005513
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,1.0066488981246948,0.6569,0.0030254339799284935
SIMPLE,OneshotOurs,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,50,1.0067204236984253,0.6697,0.0032337887678295374
