aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,0,0.3828,0.0004707236075773835
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,5,0.6138,0.0013596820645034313
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,11,0.6562,0.0020319230388849974
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,16,0.6652,0.0024100758600980043
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,22,0.6791,0.0027843082789331675
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,27,0.685,0.0030530786607414484
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,33,0.6786,0.0033412431366741657
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,38,0.6803,0.003550529945641756
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,44,0.6869,0.0037705842405557632
N/A,OneshotFedProto,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,50,0.696,0.0039551821537315845
