aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,0.2124,0.00027505471371114254
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,0.4232,0.0006198655464686453
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,0.4744,0.0009751334437169135
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,0.5346,0.001085999421775341
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,0.5463,0.0011338074691593647
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,0.5531,0.001158183440566063
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,0.5317,0.0011931642657145858
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,0.5486,0.0012164341751486063
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,0.5498,0.0012339012464508414
N/A,OneshotFedETF,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,50,0.5502,0.001246191910468042
