aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,1.0022008419036865,0.3007,0.0005104505689814687
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,0.9727708697319031,0.4251,0.0010475256713107228
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,0.9362642168998718,0.526,0.00150031759403646
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,0.9048972725868225,0.5499,0.0018075404223054647
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,0.8673297166824341,0.5924,0.0021314402110874653
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,0.8366265892982483,0.6374,0.002374200150370598
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,0.8010926842689514,0.6426,0.0026400431524962187
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,0.7727521061897278,0.6519,0.0028454202692955732
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,0.7400677800178528,0.6685,0.0030773726757615805
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,50,0.7093827128410339,0.6817,0.0032961885444819927
