aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,1.003981351852417,0.3892,0.000666496460326016
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,0.9915629029273987,0.6375,0.001637185807339847
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,0.97611004114151,0.7396,0.002421262441202998
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,0.963010847568512,0.7785,0.002939977217465639
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,0.9473296403884888,0.8033,0.0034772951621562243
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,0.9343338012695312,0.8288,0.003876489819958806
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,0.918813169002533,0.8456,0.004315746482461691
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,0.9060422778129578,0.8565,0.004655239637941122
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,0.8908956050872803,0.8666,0.005034917965531349
ADVANCED IFFI,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,0.8758174180984497,0.8731,0.005392851307988167
