aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,1.0059521198272705,0.3998,0.0006606917013414204
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,1.0059674978256226,0.629,0.001623345771804452
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,1.0060486793518066,0.7474,0.0024137822911143303
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,1.0061161518096924,0.7814,0.0029321731999516487
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,1.006203532218933,0.8052,0.0034742418210953474
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,1.0063005685806274,0.8262,0.003880281001329422
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,1.006407380104065,0.8452,0.004321126267313957
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,1.0065103769302368,0.8558,0.0046631465665996075
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,1.006623387336731,0.8728,0.005045601632446051
ADVANCED IFFI,OneshotOurs,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,1.006730318069458,0.8724,0.005401161499321461
