aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,1.0051023960113525,0.3112,0.0005574628594331443
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,0.9978469610214233,0.4349,0.0011690082028508186
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,0.9886462688446045,0.5666,0.0016746078617870808
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,0.9804133176803589,0.6194,0.0020282985642552376
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,0.9701809287071228,0.667,0.0023936450015753508
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,0.9615743160247803,0.6939,0.002664976753294468
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,0.9511980414390564,0.7075,0.002964141545817256
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,0.9425596594810486,0.7396,0.0031952066347002983
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,0.9321130514144897,0.7449,0.003456911537796259
SIMPLE,OneshotOursV5 with Decoupled Representation and Classifier Learning (DRCL),CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,0.9217744469642639,0.7613,0.0037026137579232454
