aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,1.0013235807418823,0.2977,0.0005577710689976811
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,0.9654989242553711,0.4527,0.0011747980024665594
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,0.9216228127479553,0.586,0.0016832794062793255
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,0.8838628530502319,0.6381,0.0020385219249874353
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,0.8388859629631042,0.6744,0.0024075135588645935
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,0.8029825687408447,0.7083,0.0026844239328056574
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,0.7613286972045898,0.7174,0.00298836687579751
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,0.7283511757850647,0.7456,0.0032237893901765347
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,0.6904040575027466,0.7581,0.003489962313324213
ADVANCED IFFI,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,0.65501868724823,0.7789,0.003741619409993291
