aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,1.0013235807418823,0.308,0.0005577710689976811
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,0.9654989242553711,0.4452,0.0011747980024665594
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,0.9216228127479553,0.5696,0.0016832794062793255
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,0.8838628530502319,0.6214,0.0020385219249874353
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,0.8388859629631042,0.6647,0.0024075135588645935
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,0.8029825687408447,0.6976,0.0026844239328056574
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,0.7613286972045898,0.6978,0.00298836687579751
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,0.7283511757850647,0.7294,0.0032237893901765347
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,0.6904040575027466,0.7438,0.003489962313324213
SIMPLE,OneshotOursV6 with DRCL and Lambda Annealing,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,0.65501868724823,0.7595,0.003741619409993291
