aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,0.146,0.0003926550270989537
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,0.1089,0.0010490457061678171
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,0.1068,0.0015840796986594796
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,0.101,0.0018847869941964746
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,0.1001,0.002180288312956691
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,0.1,0.002388708759099245
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,0.1004,0.0026094878558069468
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,0.1,0.002765020588412881
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,0.1,0.002933462616056204
N/A,OneshotFedAvg,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,0.1,0.0030765198171138763
