aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,0,0.1166,0.000473433785373345
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,5,0.1261,0.0013447239762172103
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,11,0.184,0.0020226407796144485
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,16,0.1665,0.0024024019949138165
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,22,0.1558,0.0027787797152996063
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,27,0.1541,0.003048876067623496
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,33,0.1667,0.003336962778121233
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,38,0.1429,0.0035482002422213554
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,44,0.1854,0.0037685087881982327
N/A,OneshotFedAvg,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,50,0.1432,0.003935995977371931
