aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,0,0.1986,0.00028895973809994757
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,5,0.413,0.0006478434079326689
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,11,0.5359,0.0010445393854752183
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,16,0.5993,0.0012494387337937951
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,22,0.6151,0.0013158079236745834
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,27,0.6119,0.001340632326900959
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,33,0.6098,0.0013640042161569
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,38,0.6145,0.001380861853249371
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,44,0.614,0.0013990690931677818
N/A,OneshotFedETF,CIFAR10_alpha0.1,5.0,1,0.05,resnet18,50,0.6136,0.0014111457858234644
