aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,37,0.5747,0.0017822791123762727
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,38,0.577,0.0018073433311656117
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,39,0.5675,0.001831746194511652
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,40,0.5721,0.0018564522033557296
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,41,0.565,0.0018786626169458032
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,42,0.5775,0.0019021275220438838
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,43,0.5832,0.0019265708979219198
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,44,0.5859,0.0019482031930238008
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,45,0.5811,0.001968519762158394
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,46,0.6029,0.0019908053800463676
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,47,0.595,0.0020122595597058535
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,48,0.6044,0.0020344029180705547
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,49,0.5938,0.002056373283267021
