aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,0,0.2327,0.00040056268335320055
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,1,0.2956,0.0004992861649952829
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,2,0.3137,0.0005699303583241999
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,3,0.3292,0.0006327486480586231
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,4,0.3439,0.000689580338075757
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,5,0.3543,0.0007475910824723542
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,6,0.3682,0.0007977277273312211
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,7,0.3809,0.0008497551316395402
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,8,0.3962,0.0008931892807595432
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,9,0.41,0.0009403605945408344
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,10,0.3953,0.0009829774498939514
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,11,0.4365,0.0010250563500449061
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,12,0.4374,0.0010669949697330594
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,13,0.4398,0.0011058415984734893
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,14,0.4498,0.0011466345749795437
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,15,0.4653,0.0011843971442431211
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,16,0.4592,0.0012231667060405016
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,17,0.471,0.0012629774864763021
