aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,0,0.25080669944683465,0.0007129659643396735
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,1,0.3251382913337431,0.0009084842749871314
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,2,0.3655116779348494,0.0010867825476452708
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,3,0.40438690842040564,0.0012461639707908034
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,4,0.4063076213890596,0.00139180151745677
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,5,0.42778119237861095,0.0015273066237568855
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,6,0.431200061462815,0.0016578359063714743
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,7,0.4288183773816841,0.0017741384217515588
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,8,0.4395359557467732,0.0018861364806070924
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,9,0.4375768285187462,0.001989117357879877
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,10,0.44552858020897357,0.0020911835599690676
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,11,0.45079133374308544,0.002191368956118822
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,12,0.44702673632452367,0.0022845470812171698
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,13,0.4445682237246466,0.0023751670960336924
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,14,0.45689920098340503,0.0024617391172796488
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,15,0.459319299323909,0.002546792384237051
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,16,0.46131684081130914,0.0026273499242961407
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,17,0.45785955746773205,0.0027058625128120184
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,18,0.45981868469575904,0.002781556686386466
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,19,0.45632298709280883,0.0028568373527377844
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,20,0.4613936693300553,0.0029314218554645777
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,21,0.4647357098955132,0.003002855693921447
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,22,0.46465888137676703,0.0030726990662515163
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,23,0.47637523048555624,0.0031434393022209406
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,24,0.4692301782421635,0.003210717346519232
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,25,0.47414720344191763,0.003276754403486848
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,26,0.47579901659496004,0.0033417590893805027
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,27,0.47264904732636753,0.003405220340937376
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,28,0.47779655808236016,0.0034689223393797874
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,29,0.4640826674861709,0.0035308136139065027
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,30,0.4758374308543331,0.0035913726314902306
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,31,0.481100184388445,0.003651989623904228
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,32,0.48021665642286415,0.0037117316387593746
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,33,0.49362323294406885,0.003769662929698825
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,34,0.47964044253226795,0.0038268358912318945
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,35,0.4829824830977259,0.0038840090855956078
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,36,0.48451905347264906,0.00394080113619566
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,37,0.4922019053472649,0.003997374791651964
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,38,0.4847495390288875,0.004051513038575649
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,39,0.48601720958819916,0.004106218460947275
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,40,0.5018438844499078,0.004161317832767963
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,41,0.5060310387215734,0.004215415567159653
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,42,0.5076444376152428,0.004267660900950432
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,43,0.49546711739397664,0.004318246617913246
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,44,0.5036109403810695,0.004369881469756365
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,45,0.5078365089121082,0.004420202225446701
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,46,0.5069913952059004,0.004469573497772217
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,47,0.5133297480024586,0.0045191156677901745
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,48,0.503380454824831,0.004568782635033131
N/A,OneshotOurs,SVHN_alpha0.05,5.0,1,0.05,resnet18,49,0.4994237861094038,0.004618209321051836
