aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,0,0.29018131530424096,0.0007053962908685207
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,1,0.3225645359557468,0.0008898649830371141
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,2,0.3869852489244007,0.0010749772191047668
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,3,0.41429778733866013,0.0012374504003673792
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,4,0.4165642286416718,0.001387791708111763
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,5,0.430239704978488,0.0015204703668132424
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,6,0.4370774431468961,0.001644700882025063
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,7,0.4371542716656423,0.0017611442599445581
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,8,0.4431084818684696,0.0018759820377454162
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,9,0.44664259373079285,0.0019799184519797564
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,10,0.4463352796558082,0.002079109661281109
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,11,0.4530961893054702,0.0021785423159599304
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,12,0.4584357713583282,0.002271469449624419
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,13,0.4615089121081746,0.00236279284581542
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,14,0.4542486170866626,0.0024499099235981703
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,15,0.46243085433312847,0.00253326166421175
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,16,0.46162415488629377,0.0026152220088988543
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,17,0.46339121081745543,0.002696787705644965
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,18,0.463660110633067,0.0027736409101635218
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,19,0.4721496619545175,0.0028492454439401627
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,20,0.4647357098955132,0.0029214774258434772
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,21,0.4578979717271051,0.002993713365867734
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,22,0.47318684695759067,0.003067072480916977
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,SVHN_alpha0.05,1.0,1,0.05,resnet18,23,0.4792178856791641,0.0031361642759293318
